SparkFun Part Number,Part Description,BOM Quantity,Primary Vendor,Primary Vendor Part Number,Primary Vendor Cost
CAP-08280,Capacitor 4.7uF 6.3V 10% 0603,2,Future Electronics Corp.,06036D475KATN-LF,0.01
CAP-08402,Capacitor 22uF 6.3V 20% 0805,3,Future Electronics Corp.,08056D226MATM,0.074
CONN-11443,JST 2 Pin Male SMD Horizontal Connector Header (Black) (2mm),1,4UCon,20404,0.0435
CONN-13711,microB USB Connector (SMD/PTH),1,Future Electronics Corp.,10103594-0001LF,0.2801
DIO-00819,LED Red (0603),1,Future Electronics Corp.,HSMH-C190,0.0363
DIO-08575,LED Blue (0603),1,Future Electronics Corp.,IN-193NB5-6815    ,0.098
DIO-09886,Diode Schottky 40V 3A 0.5V B340A SMA,2,Future Electronics Corp.,MBRA340TR,0.0935
IC-09995,LiPo Charger IC MCP73831T 4.2V Li-Ion,1,Future Electronics Corp.,MCP73831T-2ACI/OT    ,0.485
IC-13769,Voltage Booster 5V/1A PAM2401 (SMD) MSOP-8,1,Future Electronics Corp.,PAM2401SCADJ,0.3
NDUC-13770,Inductor 2.2uH 3A 45m Ohm 4.0x4.0mm,1,Future Electronics Corp.,SC1515AHER2R2M01,0.189
PCB-13767,LiPo Charger Booster 5V1A PCB,1,JLCPCB,LiPo Charger Booster 5V1A PCB,0.1414
RES-07828,Resistor 100k Ohm 1/10W 1% 0603,1,Future Electronics Corp.,CR0603-1003FTR,0.0019
RES-07856,Resistor 1k 1.0k Ohm 1/10W 1% 0603,1,Future Electronics Corp.,CR0603-1001FTR,0.0016
RES-07857,Resistor 4.7k Ohm 1/10W 1% 0603,1,Future Electronics Corp.,CR0603-4701FTR,0.0024
RES-08296,Resistor 2.0k Ohm 1/10W 1% 0603,1,Future Electronics Corp.,RMCF0603FT2K00,0.002
RES-13768,Resistor 750k Ohm 1% 1/10W 0603,2,Future Electronics Corp.,CRCW0603750KFKEA,0.002
SWCH-08179,Slide Switch 300mA 4V AYZ0202 SMD,1,Great Electronics Co. Ltd./Ningbo Huamao,MS-22C02 H:2.5(Tape/Reel),0.13
